1,	smallcrush,	smarsa__BirthdaySpacings,	1,	None,		43000000
2,	smallcrush,	sknuth__Collision,		2,	None,		43000000
3,	smallcrush,	sknuth__Gap,			3,	None,		220000000
4,	smallcrush,	sknuth__SimpPoker,		4,	None,		120000000
5,	smallcrush,	sknuth__CouponCollector, 	5,	None,		120000000
6,	smallcrush,	sknuth__MaxOft,			6, 	None,		54000000
7,	smallcrush,	svaria__WeightDistrib,		7,	None,		220000000
8,	smallcrush,	smarsa__MatrixRank,		8,	None,		33000000
9,	smallcrush,	sstring__HammingIndep,		9,	None,		140000000
10,	smallcrush,	swalk__RandomWalk1,		10,	None,		22000000
1,	crush,		smarsa__SerialOver,		1,	None,		2200000000
2,	crush,		smarsa__SerialOver,		2,	None,		1400000000
3,	crush,		smarsa__CollisionOver,		3,	None,		420000000
4,	crush,		smarsa__CollisionOver,		4,	None,		420000000
5,	crush,		smarsa__CollisionOver,		5,	None,		420000000
6,	crush,		smarsa__CollisionOver,		6,	None,		420000000
7,	crush,		smarsa__CollisionOver,		7,	None,		420000000
8,	crush,		smarsa__CollisionOver,		8,	None,		420000000
9,	crush,		smarsa__CollisionOver,		9,	None,		420000000
10,	crush,		smarsa__CollisionOver,		10,	None,		420000000
11,	crush,		smarsa__BirthdaySpacings,	11,	None,		820000000
12,	crush,		smarsa__BirthdaySpacings,	12,	None,		1400000000
13,	crush,		smarsa__BirthdaySpacings,	13,	None,		1800000000
14,	crush,		smarsa__BirthdaySpacings,	14,	None,		1800000000
15,	crush,		smarsa__BirthdaySpacings,	15,	None,		1800000000
16,	crush,		smarsa__BirthdaySpacings,	16,	None,		2100000000
17,	crush,		smarsa__BirthdaySpacings,	17,	None,		2100000000
18,	crush,		snpair__ClosePairs,		18,	None,		180000000
19,	crush,		snpair__ClosePairs,		19,	None,		260000000
20,	crush,		snpair__ClosePairs,		20,	None,		300000000
21,	crush,		snpair__ClosePairsBitMatch,	21,	None,		150000000
22,	crush,		snpair__ClosePairsBitMatch,	22,	None,		150000000
23,	crush,		sknuth__SimpPoker,		23,	None,		2700000000
24,	crush,		sknuth__SimpPoker,		24,	None,		2700000000
